Date, Tank,Time.sec, Volume.ml, Trial, Rate
5.13.19, 1, 3, 435, 1, 145.00
5.13.19, 1, 3, 260, 2, 86.67
5.13.19, 2, 3, 265, 1, 88.33
5.13.19, 3, 3, 240, 1, 80.00
5.13.19, 4, 3, 140, 1, 46.67
5.13.19, 4, 3, 280, 2, 93.33
5.13.19, 4, 3, 240, 3, 80.00
5.13.19, 5, 3, 140, 1, 86.67
5.13.19, 5, 3, 240, 2, 80.00
5.13.19, 6, 3, 255, 1, 85.00
5.14.19, 1, 3, 230, 1, 76.67
5.14.19, 2, 3, 145, 1, 48.33
5.14.19, 2, 3, 365, 2, 121.67
5.14.19, 2, 3, 240, 3, 80.00
5.14.19, 3, 3, 200, 1, 66.67
5.14.19, 3, 3, 230, 2, 76.67
5.14.19, 4, 3, 205, 1, 68.33
5.14.19, 4, 3, 275, 2, 91.67
5.14.19, 4, 3, 250, 3, 83.33
5.14.19, 5, 3, 255, 1, 85.00
5.14.19, 6, 3, 295, 1, 98.33
5.14.19, 6, 3, 240, 2, 80.00
5.15.19, 1, 3, 215, 1, 71.67
5.15.19, 2, 3, 190, 1, 63.33
5.15.19, 2, 3, 210, 2, 70.00
5.15.19, 3, 3, 220, 1, 73.33
5.15.19, 4, 3, 250, 1, 83.35
5.15.19, 4, 3, 200, 2, 66.67
5.15.19, 5, 3, 225, 1, 75.00
5.15.19, 6, 3, 220, 1, 73.33
5.16.19, 1, 3, 130, 1, 43.33
5.16.19, 1, 3, 250, 2, 83.33
5.16.19, 2, 3, 235, 1, 78.33
5.16.19, 3, 3, 235, 1, 78.33
5.16.19, 4, 3, 175, 1, 58.33
5.16.19, 4, 3, 240, 2, 80.00
5.16.19, 5, 3, 250, 1, 83.33
5.16.19, 6, 3, 215, 1, 71.67
5.16.19, 6, 3, 240, 2, 80.00
5.17.19, 1, 3, 260, 1, 86.67
5.17.19, 1, 3, 210, 2, 70.00
5.17.19, 2, 3, 225, 1, 75.00
5.17.19, 2, 3, 190, 2, 63.33
5.17.19, 3, 3, 180, 1, 60.00
5.17.19, 4, 3, 270, 1, 90.00
5.17.19, 4, 3, 200, 2, 66.67
5.17.19, 5, 3, 200, 1, 66.67
5.17.19, 6, 3, 245, 1, 81.67
5.17.19, 6, 3, 195, 2, 65.00
5.17.19, 1, 3, 140, 3, 46.67
5.17.19, 2, 3, 110, 3, 36.67
5.17.19, 2, 3, 120, 4, 40.00
5.17.19, 3, 3, 140, 2, 46.67
5.17.19, 4, 3, 140, 3, 46.67
5.17.19, 5, 3, 165, 2, 55.00
5.17.19, 5, 3, 140, 3, 46.67
5.17.19, 6, 3, 190, 3, 63.33
5.17.19, 6, 3, 170, 4, 56.67
5.17.19, 6, 3, 125, 5, 41.67
5.18.19, 1, 3, 140, 1, 46.67
5.18.19, 2, 3, 145, 1, 48.33
5.18.19, 3, 3, 160, 1, 53.33
5.18.19, 4, 3, 170, 1, 56.67
5.18.19, 4, 3, 140, 2, 46.67
5.18.19, 5, 3, 140, 1, 46.67
5.18.19, 6, 3, 170, 1, 56.67
5.18.19, 6, 3, 155, 2, 51.67
5.18.19, 6, 3, 140, 3, 46.67
